[SYS] 2025/11/18 - 12:46:36 | initializing token encoders 
[SYS] 2025/11/18 - 12:46:36 | token encoders initialized 
[SYS] 2025/11/18 - 12:46:36 | using MySQL as database 
[FATAL] 2025/11/18 - 12:46:36 | [dial tcp 172.20.0.4:3306: connect: connection refused] 
[SYS] 2025/11/18 - 12:46:36 | initializing token encoders 
[SYS] 2025/11/18 - 12:46:36 | token encoders initialized 
[SYS] 2025/11/18 - 12:46:36 | using MySQL as database 
[FATAL] 2025/11/18 - 12:46:36 | [dial tcp 172.20.0.4:3306: connect: connection refused] 
[SYS] 2025/11/18 - 12:46:36 | initializing token encoders 
[SYS] 2025/11/18 - 12:46:36 | token encoders initialized 
[SYS] 2025/11/18 - 12:46:36 | using MySQL as database 
[FATAL] 2025/11/18 - 12:46:36 | [dial tcp 172.20.0.4:3306: connect: connection refused] 
